Period ,Austria ,Belgium ,Denmark ,Finland ,France ,Germany ,Gt. Britain ,Period ,Greece ,Ireland ,Italy ,Nethlds ,Norway ,Portugal ,Spain ,Sweden 
,,,,,,,,,,,,,,,,
1856-1860 ,165.78,,168.48,,166.42,166.98,,1856-1860 ,,,162.61,166.52,,,162.21,168.4
,,,,,,,,,,,,,,,,
1861-1865 ,165.94,166.83,168.12,,166.56,167.64,166.25,1861-1865 ,,,162.92,167.18,168.87,,162.64,169.5
,,,,,,,,,,,,,,,,
1866-1870 ,166.77,167.09,168.14,,166.54,167.34,166.05,1866-1870 ,,,163.25,167.76,169.87,,163.12,169
,,,,,,,,,,,,,,,,
1871-1875 ,167.15,167.37,168.34,,166.64,167.03,167.05,1871-1875 ,,168.24,163.31,167.89,169.87,,162.84,170.2
,,,,,,,,,,,,,,,,
1876-1880 ,167.4,168.09,168.54,,166.7,167.27,167.25,1876-1880 ,,168.73,163.7,168.37,169.87,,163.14,170.3
,,,,,,,,,,,,,,,,
1881-1885 ,167.6,167.84,168.94,,166.93,167.65,167.05,1881-1885 ,,168.93,163.69,169.16,169.87,,163.76,170.9
,,,,,,,,,,,,,,,,
1886-1890 ,167.97,167.81,169.34,,167.29,167.67,168.85,1886-1890 ,,168.53,163.9,169.71,171.06,,163.99,171.5
,,,,,,,,,,,,,,,,
1891-1895 ,169.55,167.34,169.34,,167.56,168.48,169.37,1891-1895 ,,168.63,164.46,170.2,170.86,,164.02,172.3
,,,,,,,,,,,,,,,,
1896-1900 ,168.48,168.18,169.25,,167.93,,169.88,1896-1900 ,,169.61,164.88,170.65,170.86,,164.27,172.4
,,,,,,,,,,,,,,,,
1901-1905 ,171.06,168.34,169.71,,168.03,,171.29,1901-1905 ,,170,165.34,171.53,171.86,,164.72,172.5
,,,,,,,,,,,,,,,,
1906-1910 ,171.01,168.55,170.07,,168.4,,171.53,1906-1910 ,,,165.85,172.36,172.2,,165.71,173
,,,,,,,,,,,,,,,,
1911-1915 ,169.51,169.03,170.66,,168.92,,171.6,1911-1915 ,,,166.17,173.24,173.02,164.24,165.81,172.9
,,,,,,,,,,,,,,,,
1916-1920 ,,169.55,171.69,,169.2,,171.9,1916-1920 ,,,166.57,174,173.66,164.24,165.71,173.4
,,,,,,,,,,,,,,,,
1921-1925 ,,170.36,172.96,,169.48,,172.82,1921-1925 ,,,166.9,173.98,174.76,165.44,165.06,174.1
,,,,,,,,,,,,,,,,
1926-1930 ,,171.17,173.36,,169.06,172.99,173.6,1926-1930 ,166.75,,167.23,173.96,175.86,165.44,165.14,174.8
,,,,,,,,,,,,,,,,
1931-1935 ,,173.08,174.02,,169.37,173.88,173.86,1931-1935 ,167.2,,167.72,174.96,176.56,166.19,166.13,175.2
,,,,,,,,,,,,,,,,
1936-1940 ,173.06,173.38,174.23,,170.41,174.9,173.87,1936-1940 ,167.4,,168.36,175.41,177.12,166.19,166.75,175.8
,,,,,,,,,,,,,,,,
1941-1945 ,174.46,173.38,176.58,174.32,171.7,175.47,174.77,1941-1945 ,167.18,,168.93,175.99,177.98,166.89,167.26,176.1
,,,,,,,,,,,,,,,,
1946-1950 ,174.8,174.39,176.84,174.32,171.7,176.35,175.17,1946-1950 ,170.3,,169.75,177.02,178.52,166.89,167.65,177.4
,,,,,,,,,,,,,,,,
1951-1955 ,175.5,175.4,177.97,175.81,173.3,177.37,175.57,1951-1955 ,173.41,174.3,170.73,178.53,178.98,168,168.97,177.9
,,,,,,,,,,,,,,,,
1956-1960 ,176.2,176.5,178.9,175.81,173.3,178.38,176.27,1956-1960 ,174.11,175.5,172.27,179.88,179.42,169.2,170.9,178.6
,,,,,,,,,,,,,,,,
1961-1965 ,178.4,176.4,180.2,177.1,175.6,179.09,176.77,1961-1965 ,175.3,175.3,173.76,180.51,179.38,169.2,172.5,180.1
,,,,,,,,,,,,,,,,
1966-1970 ,177.7,178.6,180.9,177.1,175.6,179.44,176.86,1966-1970 ,175.7,176.1,173.76,181.43,179.8,169,173.9,179.7
,,,,,,,,,,,,,,,,
1971-1975 ,177.9,178.4,181.2,177.2,176.2,179.92,177.37,1971-1975 ,177.09,176.2,174.14,181.9,179.6,171.3,174.9,179.6
,,,,,,,,,,,,,,,,
1976-1980 ,178.8,178.7,181.4,177.9,176.2,180.17,176.83,1976-1980 ,177.29,176.6,174.48,182.7,179.63,172.3,175.3,180.4
,,,,,,,,,,,,,,,,
